9 7994 26945
0 0 0.354346 -0.276981
1 0 0.214779 -0.195472
0 1 -0.289496 -0.252528
1 1 -0.394834 -0.178763
0 2 -0.330246 -0.25049
1 2 -0.438232 -0.176114
0 3 0.36759 -0.248453
1 3 0.227004 -0.168982
0 4 -0.346546 -0.247434
1 4 -0.453513 -0.173057
0 5 -0.282365 -0.237245
1 5 -0.388314 -0.163887
0 6 -0.280328 -0.232151
1 6 -0.387295 -0.158793
0 7 -0.34349 -0.231132
1 7 -0.450457 -0.157774
0 8 -0.339415 -0.229094
1 8 -0.446382 -0.155736
0 9 -0.355714 -0.227057
1 9 -0.461663 -0.153699
0 10 -0.290515 -0.219925
1 10 -0.398501 -0.147585
0 11 -0.277272 -0.219925
1 11 -0.385258 -0.147585
0 12 -0.288478 -0.216868
1 12 -0.396464 -0.144529
0 13 -0.265047 -0.21483
1 13 -0.373033 -0.142491
0 14 -0.314965 -0.206679
1 14 -0.420914 -0.13434
0 14 -0.312927 -0.205661
0 15 -0.309871 -0.200566
1 15 -0.417857 -0.129246
0 16 0.458257 -0.185283
1 16 0.31869 -0.108869
0 17 0.460295 -0.185283
1 17 0.322765 -0.109072
0 18 0.45622 -0.178151
1 18 0.316653 -0.101737
0 19 0.447051 -0.168982
1 19 0.306465 -0.0925669
0 20 -0.298665 -0.164906
1 20 -0.402576 -0.0966423
0 21 -0.296628 -0.154717
1 21 -0.402169 -0.087065
0 22 0.482707 -0.154717
1 22 0.344159 -0.0783028
0 23 0.460295 -0.15268
1 23 0.319709 -0.077284
0 24 -0.360808 -0.148604
1 24 -0.462682 -0.0813594
0 25 -0.358771 -0.148604
1 25 -0.459626 -0.0813594
0 26 -0.355714 -0.148604
1 26 -0.456569 -0.0813594
0 27 0.441958 -0.145548
1 27 0.305447 -0.0701519
0 27 0.443995 -0.145548
0 28 0.524475 -0.139435
1 28 0.383889 -0.0650576
0 29 -0.358771 -0.138416
1 29 -0.461663 -0.0721897
0 30 0.473538 -0.137397
1 30 0.33499 -0.0626123
0 31 0.43177 -0.132303
1 31 0.296278 -0.0599633
0 32 0.5204 -0.132303
1 32 0.380833 -0.0569067
0 33 0.539756 -0.132303
1 33 0.400189 -0.0579256
0 34 0.436864 -0.12517
1 34 0.30239 -0.0507936
0 35 0.450107 -0.118038
1 35 0.315634 -0.0436615
0 36 0.428714 -0.114982
1 36 0.295259 -0.0416238
0 37 0.445014 -0.103774
1 37 0.31054 -0.0304163
0 38 0.489838 -0.103774
1 38 0.35455 -0.0308239
0 39 0.491876 -0.100718
1 39 0.354346 -0.0273597
0 40 -0.113255 -0.0996989
1 40 -0.231021 -0.0320465
0 41 -0.0938987 -0.0966423
1 41 -0.209016 -0.0283786
0 42 0.492894 -0.0966423
1 42 0.356384 -0.0232843
0 43 -0.121405 -0.0956235
1 43 -0.23856 -0.0283786
0 44 0.496969 -0.0956235
1 44 0.360459 -0.0212466
0 45 0.457239 -0.091548
1 45 0.320728 -0.0192088
0 46 0.496969 -0.091548
1 46 0.360459 -0.01819
0 47 0.424639 -0.0905292
1 47 0.290166 -0.01819
0 48 0.483726 -0.0905292
1 48 0.345177 -0.0161523
0 49 0.491876 -0.0905292
1 49 0.354346 -0.0151334
0 50 0.418527 -0.0895103
1 50 0.284053 -0.0171711
0 51 0.454182 -0.0895103
1 51 0.317672 -0.0161523
0 52 0.458257 -0.0884914
1 52 0.321746 -0.0151334
0 53 0.482707 -0.0864537
1 53 0.345177 -0.0130957
0 54 0.499007 -0.0854349
1 54 0.362496 -0.0120768
0 55 0.503082 -0.084416
1 55 0.366571 -0.011058
0 56 0.445014 -0.0833971
1 56 0.312578 -0.011058
0 56 0.449089 -0.0833971
0 57 0.457239 -0.0833971
1 57 0.320728 -0.0120768
0 58 0.482707 -0.0833971
1 58 0.34477 -0.0124844
0 59 -0.346546 -0.0823783
1 59 -0.44842 -0.01819
0 60 -0.338396 -0.0823783
1 60 -0.44027 -0.01819
0 61 -0.342471 -0.0813594
1 61 -0.444345 -0.01819
0 62 0.433808 -0.0813594
1 62 0.299334 -0.00902023
0 63 0.455201 -0.0803406
1 63 0.320728 -0.00800137
0 63 0.457239 -0.0803406
0 64 0.436864 -0.0793217
1 64 0.30239 -0.0069825
0 65 0.46437 -0.0793217
1 65 0.327859 -0.00596364
0 66 0.484745 -0.0793217
1 66 0.347215 -0.0069825
0 67 0.430751 -0.0670954
1 67 0.297297 0.0062627
0 68 0.476595 -0.0660765
1 68 0.342121 0.0062627
0 69 -0.315984 -0.0650576
1 69 -0.417857 -0.0018882
0 70 0.470482 -0.0640388
1 70 0.338046 0.00728156
0 71 -0.320059 -0.0630199
1 71 -0.421729 -0.000258011
0 72 0.402227 -0.0416238
1 72 0.271828 0.0276588
0 73 0.436864 -0.0344918
1 73 0.305447 0.0368286
0 74 0.433808 -0.0334729
1 74 0.30239 0.0368286
0 75 0.437883 -0.0314352
1 75 0.307484 0.0398851
0 76 0.35944 0.0144136
1 76 0.232098 0.0826773
0 76 0.361477 0.0154325
0 77 0.384908 0.0296965
1 77 0.256547 0.0979603
0 78 0.388983 0.0317342
1 78 0.261641 0.099998
0 79 0.450107 0.0368286
1 79 0.32032 0.107334
0 80 0.499007 0.0378474
1 80 0.366775 0.107334
0 81 0.457239 0.0388663
1 81 0.325821 0.10713
0 82 0.368608 0.040904
1 82 0.240859 0.108556
0 79 0.451126 0.040904
0 83 0.45622 0.0429417
1 83 0.323784 0.111205
0 84 0.371665 0.0439606
1 84 0.244322 0.111205
0 85 0.534663 0.0439606
1 85 0.405894 0.113447
0 86 0.449089 0.0470172
1 86 0.316653 0.115281
0 87 0.503082 0.0470172
1 87 0.370646 0.1163
0 88 0.518363 0.048036
1 88 0.386946 0.117319
0 89 0.527532 0.048036
1 89 0.397337 0.117115
0 90 0.491876 0.0490549
1 90 0.35944 0.118337
0 91 0.510213 0.0500738
1 91 0.377777 0.118337
0 92 0.532625 0.0500738
1 92 0.403449 0.11956
0 93 0.519382 0.0521115
1 93 0.387557 0.120783
0 94 0.533644 0.0521115
1 94 0.404264 0.121394
0 95 0.511232 0.0531303
1 95 0.378796 0.121394
0 96 0.529569 0.0531303
1 96 0.401208 0.122413
0 97 0.5367 0.0531303
1 97 0.40732 0.121394
0 98 0.497988 0.0561869
1 98 0.366571 0.12547
0 99 0.516325 0.0582247
1 99 0.383889 0.127507
0 99 0.513269 0.0602624
0 100 0.519382 0.0612812
1 100 0.387964 0.130564
0 101 0.521419 0.0623001
1 101 0.391224 0.130564
0 102 0.519382 0.0653567
1 102 0.390002 0.13362
0 103 0.398152 0.0663755
1 103 0.269791 0.132602
0 104 0.497988 0.0673944
1 104 0.368608 0.135658
0 105 0.395096 0.0694321
1 105 0.267753 0.137696
0 106 0.404264 0.070451
1 106 0.277941 0.137696
0 107 0.400189 0.0724887
1 107 0.272847 0.139734
0 108 0.468445 0.0724887
1 108 0.338046 0.140752
0 109 0.404264 0.0735076
1 109 0.276922 0.140752
0 110 0.382871 0.0745264
1 110 0.256547 0.141771
0 111 0.465389 0.0745264
1 111 0.33499 0.14279
0 112 0.410377 0.0755453
1 112 0.280997 0.14279
0 113 0.417508 0.0765642
1 113 0.288128 0.143809
0 114 0.393058 0.0786019
1 114 0.264697 0.144828
0 115 0.413433 0.0816585
1 115 0.284053 0.148903
0 116 0.432789 0.0816585
1 116 0.303409 0.148903
0 117 0.429733 0.0826773
1 117 0.299334 0.149922
0 115 0.412414 0.0836962
0 118 0.494932 0.0836962
1 118 0.366571 0.150941
0 119 0.486782 0.0847151
1 119 0.358421 0.152979
0 120 0.493913 0.0877716
1 120 0.364533 0.156035
0 121 0.385927 0.0887905
1 121 0.260622 0.155017
0 122 0.395096 0.0887905
1 122 0.268772 0.156035
0 123 0.398152 0.0887905
1 123 0.272847 0.156035
0 124 0.413433 0.0887905
1 124 0.284053 0.155017
0 125 0.486782 0.0887905
1 125 0.360459 0.157054
0 125 0.489838 0.0887905
0 126 0.391021 0.0898094
1 126 0.265716 0.156035
0 123 0.400189 0.0898094
0 127 0.426676 0.0898094
1 127 0.298315 0.157054
0 128 0.395096 0.0908282
1 128 0.267753 0.158073
0 129 0.395096 0.092866
1 129 0.268772 0.160111
0 130 0.402227 0.092866
1 130 0.274885 0.159092
0 131 0.405283 0.0938848
1 131 0.278959 0.16113
0 132 0.398152 0.0949037
1 132 0.272847 0.162149
0 132 0.401208 0.0949037
0 133 0.41547 0.0949037
1 133 0.288128 0.16113
0 134 0.487801 0.0949037
1 134 0.360459 0.162149
0 135 0.412414 0.0959225
1 135 0.285072 0.163167
0 136 0.429733 0.0959225
1 136 0.301372 0.163167
0 137 -0.318021 0.0969414
1 137 -0.422951 0.155017
0 138 0.478632 0.0969414
1 138 0.350271 0.165205
0 139 0.425658 0.0979603
1 139 0.296278 0.164186
0 140 0.427695 0.0979603
1 140 0.299334 0.165205
0 141 0.41547 0.0989791
1 141 0.288128 0.166224
0 142 0.42362 0.101017
1 142 0.295259 0.168262
0 143 0.355772 -0.282687
1 143 0.214779 -0.202604
0 0 0.35455 -0.276573
0 144 0.37411 -0.257011
1 144 0.232098 -0.177132
0 145 0.36922 -0.254566
1 145 0.228023 -0.174076
0 146 -0.2897 -0.252121
1 146 -0.395567 -0.179252
0 147 -0.330042 -0.250898
1 147 -0.437621 -0.176317
0 3 0.366775 -0.249675
0 148 -0.27503 -0.24723
1 148 -0.383303 -0.174322
0 149 -0.282365 -0.237449
1 149 -0.388721 -0.164091
0 150 -0.347157 -0.235004
1 150 -0.453513 -0.161646
0 151 -0.27992 -0.232559
1 151 -0.386277 -0.1592
0 152 -0.34349 -0.231336
1 152 -0.449846 -0.157978
0 153 -0.31415 -0.231336
1 153 -0.420914 -0.157774
0 154 -0.277475 -0.220332
1 154 -0.385054 -0.146974
0 10 -0.290923 -0.21911
0 155 -0.288478 -0.216664
1 155 -0.397279 -0.144529
0 156 -0.312927 -0.206883
1 156 -0.420506 -0.134748
0 15 -0.310482 -0.20077
0 18 0.456016 -0.178763
0 157 -0.298258 -0.165314
1 157 -0.402169 -0.0968461
0 158 0.474353 -0.155533
1 158 0.333768 -0.0785066
0 21 -0.297035 -0.15431
0 159 0.460906 -0.15431
1 159 0.32032 -0.0785066
0 160 0.482911 -0.15431
1 160 0.343547 -0.0785066
0 25 -0.355714 -0.149419
0 161 -0.359382 -0.148197
1 161 -0.459626 -0.0821745
0 162 0.443791 -0.145751
1 162 0.30565 -0.0699482
0 163 0.467019 -0.142084
1 163 0.329896 -0.0670954
0 164 0.473131 -0.137193
1 164 0.33499 -0.0618788
0 165 -0.361827 -0.13597
1 165 -0.462682 -0.0691331
0 166 0.431566 -0.134748
1 166 0.295871 -0.0601671
0 167 0.447459 -0.134748
1 167 0.31054 -0.0599633
0 168 0.509806 -0.132303
1 168 0.370442 -0.0564992
0 169 0.519585 -0.13108
1 169 0.380222 -0.0564992
0 170 0.445014 -0.127412
1 170 0.308095 -0.0528313
0 171 0.476798 -0.126189
1 171 0.338658 -0.0528313
0 34 0.436456 -0.124967
0 172 0.502471 -0.124967
1 172 0.36433 -0.050386
0 173 -0.353269 -0.123744
1 173 -0.455958 -0.0577218
0 174 -0.358159 -0.122521
1 174 -0.459626 -0.0564992
0 175 0.449904 -0.118854
1 175 0.31543 -0.0442728
0 176 0.429121 -0.115186
1 176 0.294648 -0.0418276
0 177 -0.358159 -0.10785
1 177 -0.460848 -0.0418276
0 178 -0.355714 -0.105405
1 178 -0.457181 -0.0406049
0 37 0.445014 -0.104182
0 179 0.489023 -0.102959
1 179 0.351127 -0.0296012
0 180 -0.344712 -0.100514
1 180 -0.447401 -0.0357144
0 181 0.491468 -0.100514
1 181 0.35455 -0.027156
0 40 -0.113662 -0.0992914
0 182 0.424232 -0.0907329
1 182 0.289758 -0.0185975
0 183 0.463351 -0.0907329
1 183 0.32684 -0.01819
0 184 0.471908 -0.0907329
1 184 0.33499 -0.0173749
0 49 0.491468 -0.0907329
0 185 0.496358 -0.0907329
1 185 0.35944 -0.0173749
0 186 0.453571 -0.0895103
1 186 0.317875 -0.0173749
0 58 0.482911 -0.087065
0 187 0.498803 -0.0858424
1 187 0.363107 -0.0124844
0 188 -0.130777 -0.0846198
1 188 -0.246913 -0.0173749
0 189 0.456016 -0.0846198
1 189 0.32032 -0.0124844
0 190 0.464574 -0.0846198
1 190 0.327655 -0.0100391
0 191 0.503693 -0.0846198
1 191 0.366775 -0.0112617
0 192 0.441346 -0.0833971
1 192 0.30565 -0.0100391
0 193 0.445014 -0.0833971
1 193 0.308503 -0.0100391
0 56 0.448681 -0.0833971
0 194 -0.3386 -0.0821745
1 194 -0.440066 -0.0198201
0 195 0.427899 -0.0821745
