22 11951 60278
0 0 0.119046 -0.182673
1 0 0.18468 -0.14837
0 1 0.112796 -0.180594
1 1 0.18218 -0.145875
0 2 0.134674 -0.141093
1 2 0.212809 -0.104711
0 3 0.130506 -0.131738
1 3 0.208642 -0.0953553
0 4 0.00028012 -0.104711
1 4 0.0544126 -0.0672888
0 5 0.0919594 -0.0527358
1 5 0.0659295 -0.0442056
0 6 0.212809 -0.0433803
1 6 0.262816 -0.0225903
0 7 0.235729 -0.0392223
1 7 0.288445 -0.0173928
0 8 0.028409 -0.0142743
1 8 0.0982103 0.0262662
0 9 0.2649 -0.0111558
1 9 0.324283 0.00859467
0 10 0.0492452 -0.00803732
1 10 0.116963 0.0293847
0 11 0.173221 -0.00595832
1 11 0.237813 0.0221082
0 12 0.17843 -0.00595832
1 12 0.243022 0.0221082
0 13 0.162802 -0.00283982
1 13 0.229478 0.0252267
0 14 0.182597 -0.000760824
1 14 0.250315 0.0262662
0 15 0.0627887 0.00651567
1 15 0.135715 0.0428981
0 16 0.157593 0.0137922
1 16 0.228437 0.0449772
0 17 -0.0184725 0.0148317
1 17 0.0659141 0.0626486
0 18 -0.00701255 0.0179502
1 18 0.0784159 0.0647276
0 19 -0.00388712 0.0200292
1 19 0.0804995 0.0668066
0 20 0.0159073 0.0231477
1 20 0.101336 0.0688856
0 21 0.0304926 0.0273057
1 21 0.114671 0.0711725
0 22 0.320116 0.0293847
1 22 0.396168 0.0501746
0 23 0.308656 0.0304242
1 23 0.386792 0.0522536
0 24 -0.0111798 0.0314637
1 24 0.0732068 0.0792806
0 25 0.294071 0.0314637
1 25 0.373248 0.0543326
0 26 0.322199 0.0314637
1 26 0.400335 0.0522536
0 27 -0.00805436 0.0325032
1 27 0.0752904 0.0792806
0 28 0.308656 0.0325032
1 28 0.386792 0.0543326
0 29 0.320116 0.0335427
1 29 0.398252 0.0543326
0 30 0.327408 0.0335427
1 30 0.404502 0.0543326
0 31 -0.0122216 0.0345821
1 31 0.0711232 0.0813596
0 32 0.270109 0.0356216
1 32 0.350328 0.0595301
0 33 0.0617469 0.0366611
1 33 0.146134 0.0782411
0 34 0.257607 0.0366611
1 34 0.337827 0.0626486
0 35 0.294071 0.0366611
1 35 0.372206 0.0595301
0 36 0.325325 0.0366611
1 36 0.402419 0.0574511
0 37 0.261774 0.0377006
1 37 0.343036 0.0626486
0 36 0.323241 0.0377006
0 38 0.270109 0.0397796
1 38 0.350328 0.0636881
0 39 0.0825831 0.0428981
1 39 0.169053 0.0823991
0 40 -0.0018035 0.0439376
1 40 0.0836249 0.0907151
0 41 0.193015 0.0449771
1 41 0.277193 0.0749147
0 42 0.195099 0.0449771
1 42 0.278443 0.0751226
0 43 0.25344 0.0449771
1 43 0.334701 0.0699251
0 44 0.257607 0.0449771
1 44 0.338868 0.0699251
0 45 0.0242417 0.0491351
1 45 0.108628 0.0938336
0 46 0.0325762 0.0501746
1 46 0.118005 0.0938336
0 47 0.163844 0.0512141
1 47 0.248231 0.0844781
0 48 0.0242417 0.0532931
1 48 0.108628 0.0979916
0 49 0.295112 0.0543326
1 49 0.373248 0.0761621
0 50 0.0440361 0.0564116
1 50 0.128423 0.0986153
0 51 0.238855 0.0574511
1 51 0.320116 0.0844781
0 52 -0.133072 0.0584906
1 52 -0.0916075 0.103605
0 53 -0.0674375 0.0584906
1 53 0.00548917 0.107347
0 54 0.246147 0.0605696
1 54 0.326367 0.0865571
0 55 0.177388 0.0636881
1 55 0.259691 0.0948731
0 56 0.161761 0.0647276
1 56 0.245105 0.0979916
0 57 0.156552 0.0657671
1 57 0.240938 0.0986153
0 58 0.174262 0.0657671
1 58 0.256565 0.0969521
0 59 -0.12057 0.0668066
1 59 -0.0753553 0.111089
0 60 0.197182 0.0668066
1 60 0.280527 0.0969521
0 61 0.194057 0.0772016
1 61 0.27636 0.106308
0 62 0.15551 0.0803201
1 62 0.238855 0.112545
0 63 0.185722 0.0803201
1 63 0.268025 0.110466
